class,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline
0,14.290486859682643,1.6656509477311823,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
0,13.183163005657558,2.235823955396017,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
0,13.238871611538855,2.46484427539407,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
0,14.555465408341092,1.8063644671213201,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480
0,13.211486211465395,2.4105484937239634,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
0,14.171488210723107,1.8408488263843323,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
0,14.582307030918178,1.8325539132116753,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
0,14.15345358189705,2.2696464298504666,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295
0,14.7728302351876,1.7193013348305008,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045
0,13.926069696276704,1.3377959196647806,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045
0,14.043567782819009,2.018101155356316,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
0,14.06328623397691,1.226154150169013,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280
0,13.779464708988023,1.6551766345657728,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
0,14.51701224841167,1.8735083856620296,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150
0,14.169949889152957,1.905876098616809,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547
0,13.561528009265865,1.6012491677072345,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310
0,14.176663522699148,1.9490202593243862,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280
0,13.868267148614759,1.634568371066065,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130
0,14.079426293751547,1.4418903171450572,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680
0,13.468018156329817,3.1257600103318626,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845
0,14.23847788490092,1.639754146398863,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780
0,12.902506321141837,3.6084702788133916,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770
