class,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline
0,14.250162286560881,1.6952169825770607,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
0,13.194387668552519,1.931941318465339,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
0,13.186290537179618,2.3949480917980233,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
0,14.431821802780364,1.90212148904044,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480
0,13.230495403821799,2.530182831241321,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
0,14.190496070241036,1.7869496087947774,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
0,14.454102343639393,1.8575179710705585,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
0,14.091151193965684,2.189882143283489,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295
0,14.8109434117292,1.6664337782768337,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045
0,13.882023232092234,1.3459319732215935,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045
0,14.08118926093967,2.1127003851187722,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
0,14.101095411325636,1.3953847167230042,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280
0,13.759821569662675,1.705058878188591,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
0,14.672337416137223,1.7778361285540099,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150
0,14.309983296384319,1.8819586995389364,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547
0,13.607176003088622,1.740416389235745,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310
0,14.258887840899716,1.9296734197747953,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280
0,13.84275571620492,1.591522790355355,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130
0,14.153142097917181,1.5406301057150191,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680
0,13.582672718776607,3.108586670110621,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845
0,14.119492628300307,1.6332513821329542,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780
0,12.920835440380612,3.7361567596044636,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770
0,13.712741059431478,1.8799850376694434,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
0,12.79216758062281,1.6313239122617424,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015
0,13.477902782869926,1.8704963234914878,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845
0,13.054502495099541,2.108862542504445,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830
0,13.343279643438715,1.6930471020891877,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195
0,13.315250081078462,1.6676156208206847,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285
0,13.845619278588542,1.9287684819447988,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915
0,14.008159763647368,1.7086986985035355,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035
0,13.70557593020493,1.528769175642108,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285
0,13.655186429297684,1.8752031974970635,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515
0,13.679452129738415,1.8618884053093,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990
0,13.717066109916738,1.5934296361756413,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235
0,13.543388189417353,1.8532879673601874,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095
0,13.430444336309879,1.8463849597208237,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920
0,13.288478050462407,1.6223899096826089,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
0,12.970454389384859,1.6923939751441772,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105
