class,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280_od315,proline,phenol_ratio,alcohol_color_ratio,alcohol_proline_ratio,color_hue_product,flavanoid_proline
0,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,1.0928567525511599,2.5230491980409226,0.013361502334871827,5.8656,3258.9
0,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,1.0415090409399845,3.013697942078095,0.012571428559455781,4.599,2898.0
0,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,1.1571424438776987,2.3169010005455988,0.011105485222695792,5.8504,3839.4
0,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,0.9064932710407089,1.8423074561144286,0.009709459452899012,6.708,5165.200000000001
0,13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,0.9607139426021634,3.064814105367105,0.018013605417668565,4.492800000000001,1977.1499999999999
0,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,1.0366969306737215,2.1037033920439416,0.009793103441521997,7.0875,4915.5
0,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,1.0079995968001612,2.7409518588663127,0.011155038751042606,5.355,3250.8
0,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,0.9653842440829828,2.7841578645231952,0.010857142848758963,5.353,3250.45
0,14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,1.0642853341838092,2.8519225284764365,0.014191387546228337,5.6160000000000005,3114.1
0,13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,1.057046625152139,1.9196673241458,0.013263157882044824,7.2922,3291.75
0,14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,1.1254233473141193,2.452173486578524,0.009337748338186921,7.1875,5013.2
0,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280,1.104544952479567,2.8239994352001125,0.011031249991381834,5.85,3110.4
0,13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,1.0615380532545948,2.4553567044005886,0.010416666658775251,6.4399999999999995,3643.2
