chemical_id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,color_intensity,proline
1,14.23,1.71,2.43,15.6,127.0,5.64,1065.0
2,13.2,1.78,2.14,11.2,100.0,4.38,1050.0
3,13.16,2.36,2.67,18.6,101.0,5.68,1185.0
4,14.37,1.95,2.5,16.8,113.0,7.8,1480.0
5,13.24,2.59,2.87,21.0,118.0,4.32,735.0
6,14.2,1.76,2.45,15.2,112.0,6.75,1450.0
7,14.39,1.87,2.45,14.6,96.0,5.25,1290.0
8,14.06,2.15,2.61,17.6,121.0,5.05,1295.0
9,14.83,1.64,2.17,14.0,97.0,5.2,1045.0
10,13.86,1.35,2.27,16.0,98.0,7.22,1045.0
11,14.1,2.16,2.3,18.0,105.0,5.75,1510.0
12,14.12,1.48,2.32,16.8,95.0,5.0,1280.0
13,13.75,1.73,2.41,16.0,89.0,5.6,1320.0
14,14.75,1.73,2.39,11.4,91.0,5.4,1150.0
15,14.38,1.87,2.38,12.0,102.0,7.5,1547.0
17,14.3,1.92,2.72,20.0,120.0,6.2,1280.0
18,13.83,1.57,2.62,20.0,115.0,6.6,1130.0
19,14.19,1.59,2.48,16.5,108.0,8.7,1680.0
20,13.64,3.1,2.56,15.2,116.0,5.1,845.0
21,14.06,1.63,2.28,16.0,126.0,5.65,780.0
22,12.93,3.8,2.65,18.6,102.0,4.5,770.0
23,13.71,1.86,2.36,16.6,101.0,3.8,1035.0
24,12.85,1.6,2.52,17.8,95.0,3.93,1015.0
25,13.5,1.81,2.61,20.0,96.0,3.52,845.0
26,13.05,2.05,3.22,25.0,124.0,3.58,830.0
27,13.39,1.77,2.62,16.1,93.0,4.8,1195.0
28,13.3,1.72,2.14,17.0,94.0,3.95,1285.0
29,13.87,1.9,2.8,19.4,107.0,4.5,915.0
30,14.02,1.68,2.21,16.0,96.0,4.7,1035.0
31,13.73,1.5,2.7,22.5,101.0,5.7,1285.0
32,13.58,1.66,2.36,19.1,106.0,6.9,1515.0
33,13.68,1.83,2.36,17.2,104.0,3.84,990.0
34,13.76,1.53,2.7,19.5,132.0,5.4,1235.0
35,13.51,1.8,2.65,19.0,110.0,4.2,1095.0
36,13.48,1.81,2.41,20.5,100.0,5.1,920.0
37,13.28,1.64,2.84,15.5,110.0,4.6,880.0
38,13.05,1.65,2.55,18.0,98.0,4.25,1105.0
