phenol_id,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,hue,od280_od315
1,2.8,3.06,0.28,2.29,1.04,3.92
2,2.65,2.76,0.26,1.28,1.05,3.4
3,2.8,3.24,0.3,2.81,1.03,3.17
4,3.85,3.49,0.24,2.18,0.86,3.45
5,2.8,2.69,0.39,1.82,1.04,2.93
6,3.27,3.39,0.34,1.97,1.05,2.85
7,2.5,2.52,0.3,1.98,1.02,3.58
9,2.8,2.98,0.29,1.98,1.08,2.85
10,2.98,3.15,0.22,1.85,1.01,3.55
11,2.95,3.32,0.22,2.38,1.25,3.17
12,2.2,2.43,0.26,1.57,1.17,2.82
13,2.6,2.76,0.29,1.81,1.15,2.9
14,3.1,3.69,0.43,2.81,1.25,2.73
15,3.3,3.64,0.29,2.96,1.2,3.0
16,2.85,2.91,0.3,1.46,1.28,2.88
17,2.8,3.14,0.33,1.97,1.07,2.65
18,2.95,3.4,0.4,1.72,1.13,2.57
19,3.3,3.93,0.32,1.86,1.23,2.82
20,2.7,3.03,0.17,1.66,0.96,3.36
21,3.0,3.17,0.24,2.1,1.09,3.71
22,2.41,2.41,0.25,1.98,1.03,3.52
23,2.61,2.88,0.27,1.69,1.11,4.0
24,2.48,2.37,0.26,1.46,1.09,3.63
25,2.53,2.61,0.28,1.66,1.12,3.82
26,2.63,2.68,0.47,1.92,1.13,3.2
28,2.4,2.19,0.27,1.35,1.02,2.77
29,2.95,2.97,0.37,1.76,1.25,3.4
30,2.65,2.33,0.26,1.98,1.04,3.59
31,3.0,3.25,0.29,2.38,1.19,2.71
32,2.86,3.19,0.22,1.95,1.09,2.88
33,2.42,2.69,0.42,1.97,1.23,2.87
34,2.95,2.74,0.5,1.35,1.25,3.0
35,2.35,2.53,0.29,1.54,1.1,2.87
36,2.7,2.98,0.26,1.86,1.04,3.47
37,2.6,2.68,0.34,1.36,1.09,2.78
38,2.45,2.43,0.29,1.44,1.12,2.51
39,2.4,2.64,0.28,1.37,1.18,2.69
40,3.0,3.04,0.2,2.08,0.89,3.53
41,3.15,3.29,0.34,2.34,0.95,3.38
42,2.45,2.68,0.27,1.48,0.91,3.0
